date,TF,HF,OT
2022/9/9 19:30,28.47291667,74.63991667,7.283699225
2022/9/9 19:40,28.35821667,75.38873333,7.379288059
2022/9/9 19:50,28.26895614,76.22438596,7.365875932
2022/9/9 20:00,0,0,0
2022/9/9 20:10,0,0,0
2022/9/9 20:20,0,0,0
2022/9/9 20:30,0,0,0
2022/9/9 20:40,0,0,0
2022/9/9 20:50,0,0,0
2022/9/9 21:00,0,0,0
2022/9/9 21:10,0,0,0
2022/9/9 21:20,0,0,0
2022/9/9 21:30,0,0,0
2022/9/9 21:40,0,0,0
2022/9/9 21:50,0,0,0
2022/9/9 22:00,0,0,0
2022/9/9 22:10,0,0,0
2022/9/9 22:20,0,0,0
2022/9/9 22:30,0,0,0
2022/9/9 22:40,0,0,0
2022/9/9 22:50,0,0,0
2022/9/9 23:00,0,0,0
2022/9/9 23:10,0,0,0
2022/9/9 23:20,0,0,0
2022/9/9 23:30,0,0,0
2022/9/9 23:40,0,0,0
2022/9/9 23:50,0,0,0
2022/9/10 0:00,0,0,0
2022/9/10 0:10,0,0,0
2022/9/10 0:20,0,0,0
2022/9/10 0:30,0,0,0
2022/9/10 0:40,0,0,0
2022/9/10 0:50,0,0,0
2022/9/10 1:00,0,0,0
2022/9/10 1:10,0,0,0
2022/9/10 1:20,0,0,0
2022/9/10 1:30,0,0,0
2022/9/10 1:40,0,0,0
2022/9/10 1:50,0,0,0
2022/9/10 2:00,0,0,0
2022/9/10 2:10,0,0,0
2022/9/10 2:20,0,0,0
2022/9/10 2:30,0,0,0
2022/9/10 2:40,0,0,0
2022/9/10 2:50,0,0,0
2022/9/10 3:00,0,0,0
2022/9/10 3:10,0,0,0
2022/9/10 3:20,0,0,0
2022/9/10 3:30,0,0,0
2022/9/10 3:40,0,0,0
2022/9/10 3:50,0,0,0
2022/9/10 4:00,0,0,0
2022/9/10 4:10,0,0,0
2022/9/10 4:20,0,0,0
2022/9/10 4:30,0,0,0
2022/9/10 4:40,0,0,0
2022/9/10 4:50,0,0,0
2022/9/10 5:00,0,0,0
2022/9/10 5:10,0,0,0
2022/9/10 5:20,0,0,0
2022/9/10 5:30,0,0,0
2022/9/10 5:40,0,0,0
2022/9/10 5:50,0,0,0
2022/9/10 6:00,0,0,0
2022/9/10 6:10,0,0,0
2022/9/10 6:20,0,0,0
2022/9/10 6:30,0,0,0
2022/9/10 6:40,0,0,0
2022/9/10 6:50,0,0,0
2022/9/10 7:00,0,0,0
2022/9/10 7:10,0,0,0
2022/9/10 7:20,0,0,0
2022/9/10 7:30,0,0,0
2022/9/10 7:40,0,0,0
2022/9/10 7:50,0,0,0
2022/9/10 8:00,29.93324167,69.61816667,7.849552297
